"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros"
"*02fx3*","Jonathan Parker","(N/A)","RW","6092","FA","33","","0","0","0%"
"*023yu*","Trevor Parkes","SJS","RW","6094","FA","34","","0","0","0%"
"*01zv5*","Michael Parks","(N/A)","RW","6095","FA","33","","0","0","0%"
"*03za0*","Tyler Parks","(N/A)","G","6096","FA","33","","0","0","0%"
"*027ct*","Blake Parlett","(N/A)","D","6097","FA","36","","0","0","0%"
"*01iyo*","Brett Parnham","OTT","C","6098","FA","36","","0","0","0%"
"*00qm3*","Martin Paroulek","(N/A)","LW","6099","FA","0","","0","0","0%"
"*004nc*","Scott Parse","(N/A)","LW","6100","FA","40","","0","0","0%"
"*03riu*","Adam Parsells","SJS","D","6101","FA","28","","0","0","0%"
"*01n81*","Denis Parshin","COL","LW,RW","6102","FA","39","","0","0","0%"
"*02ug2*","Mika Partanen","(N/A)","LW","6107","FA","32","","0","0","0%"
"*024dd*","Mihail Pashnin","NYR","D","6109","FA","36","","0","0","0%"
"*061kw*","Vladislav Pashuto","(N/A)","D","6110","FA","21","","0","0","0%"
"*01unw*","Edward Pasquale","(N/A)","G","6113","FA","34","","0","0","0%"
"*065gw*","Josh Passolt","BUF","LW","6114","FA","29","BOS 3<br/>@BUF 6 F","0","0","0%"
"*03w5o*","Michael Pastujov","(N/A)","LW","6115","FA","25","","0","0","0%"
"*04xho*","Brady Pataki","(N/A)","RW","6118","FA","26","","0","0","0%"
"*02nq5*","Jake Paterson","MIN","G","6120","FA","31","DAL 2<br/>@MIN 3 F","0","0","0%"
"*05o4n*","Jasper Patrikainen","(N/A)","G","6122","FA","25","","0","0","0%"
"*01w86*","Gaelan Patterson","(N/A)","C","6123","FA","34","","0","0","0%"
"*0243v*","Kent Patterson","(N/A)","G","6124","FA","35","","0","0","0%"
"*0046t*","Dimitri Patzold","(N/A)","G","6126","FA","42","","0","0","0%"
"*004oh*","Geoff Paukovich","(N/A)","LW","6127","FA","39","","0","0","0%"
"*031qy*","Matej Paulovic","DAL","LW","6128","FA","31","","0","0","0%"
"*02gvm*","Jaroslav Pavelka","(N/A)","G","6131","FA","31","","0","0","0%"
"*04xud*","Radovan Pavlik","(N/A)","RW","6133","FA","27","","0","0","0%"
"*003wu*","Yevgeny Pavlov","(N/A)","LW","6134","FA","44","","0","0","0%"
"*03rjt*","Nikita Pavlychev","LAK","C","6135","FA","28","","0","0","0%"
"*02fsi*","Adam Payerl","(N/A)","C","6136","FA","34","","0","0","0%"
"*02o86*","Cody Payne","DAL","RW","6137","FA","31","DAL 2<br/>@MIN 3 F","0","0","0%"
"*04w4z*","Robbie Payne","(N/A)","RW","6138","FA","32","","0","0","0%"
"*02yom*","Elgin Pearce","(N/A)","C","6139","FA","33","","0","0","0%"
"*01cwg*","Jordan Pearce","(N/A)","G","6140","FA","38","","0","0","0%"
"*015mt*","Joseph Pearce","(N/A)","G","6141","FA","43","","0","0","0%"
"*066pl*","Ethan Pearson","(N/A)","G","6143","FA","23","","0","0","0%"
"*05xcd*","Kaleb Pearson","(N/A)","RW","6144","FA","25","","0","0","0%"
"*004r1*","Stephen Peat","(N/A)","RW","6146","FA","0","","0","0","0%"
"*0598i*","Liam Pecararo","FLA","LW","6148","FA","29","FLA 1<br/>@DET 2 F","0","0","0%"
"*01s7p*","Alexander Pechurskiy","PIT","G","6149","FA","35","PIT 1<br/>@CHI 3 F","0","0","0%"
"*004rx*","Cory Pecker","(N/A)","RW","6151","FA","0","","0","0","0%"
"*04f6p*","Ryan Peckford","(N/A)","C","6152","FA","26","","0","0","0%"
"*004oi*","Theo Peckham","(N/A)","D","6153","FA","37","","0","0","0%"
"*02eg6*","Andrey Pedan","(N/A)","D","6154","FA","32","","0","0","0%"
"*03c6n*","Ruslan Pedan","(N/A)","D","6155","FA","30","","0","0","0%"
"*031qc*","Brent Pedersen","TBL","LW","6157","FA","30","","0","0","0%"
"*06h97*","Oliver Peer","(N/A)","C,RW","6160","FA","22","","0","0","0%"
"*05mwg*","Senna Peeters","(N/A)","RW","6161","FA","23","","0","0","0%"
